date,hour,energy_kWh
2016/6/9,0,0.37
2016/6/9,1,0.52
2016/6/9,2,0.29
2016/6/9,3,0.29
2016/6/9,4,0.24
2016/6/9,5,0.25
2016/6/9,6,0.29
2016/6/9,7,0.58
2016/6/9,8,0.89
2016/6/9,9,0.51
2016/6/9,10,0.49
2016/6/9,11,0.48
2016/6/9,12,0.42
2016/6/9,13,0.57
2016/6/9,14,0.68
2016/6/9,15,0.28
2016/6/9,16,0.29
2016/6/9,17,0.48
2016/6/9,18,0.74
2016/6/9,19,0.77
2016/6/9,20,0.74
2016/6/9,21,2.34
2016/6/9,22,1.66
2016/6/9,23,0.59
2016/6/10,0,0.66
2016/6/10,1,0.33
2016/6/10,2,0.26
2016/6/10,3,0.2
2016/6/10,4,0.27
2016/6/10,5,0.31
2016/6/10,6,0.32
2016/6/10,7,0.56
2016/6/10,8,1.2
2016/6/10,9,0.57
2016/6/10,10,0.35
2016/6/10,11,0.35
2016/6/10,12,1.9
2016/6/10,13,1.97
2016/6/10,14,0.4
2016/6/10,15,0.37
2016/6/10,16,0.44
2016/6/10,17,0.87
2016/6/10,18,0.85
2016/6/10,19,0.64
2016/6/10,20,0.85
2016/6/10,21,0.66
2016/6/10,22,0.56
2016/6/10,23,0.95
2016/6/11,0,0.62
2016/6/11,1,0.21
2016/6/11,2,0.27
2016/6/11,3,0.28
2016/6/11,4,0.22
2016/6/11,5,0.23
2016/6/11,6,0.28
2016/6/11,7,0.44
2016/6/11,8,1.21
2016/6/11,9,0.79
2016/6/11,10,0.89
2016/6/11,11,0.73
2016/6/11,12,0.67
2016/6/11,13,0.96
2016/6/11,14,0.97
2016/6/11,15,0.8
2016/6/11,16,0.8
2016/6/11,17,0.45
2016/6/11,18,0.38
2016/6/11,19,
2016/6/11,20,0.44
2016/6/11,21,0.41
2016/6/11,22,0.65
2016/6/11,23,0.65
2016/6/12,0,0.7
2016/6/12,1,0.23
2016/6/12,2,0.36
2016/6/12,3,0.26
2016/6/12,4,0.25
2016/6/12,5,0.29
2016/6/12,6,0.28
2016/6/12,7,0.26
2016/6/12,8,0.61
2016/6/12,9,0.83
2016/6/12,10,0.86
2016/6/12,11,0.84
2016/6/12,12,0.62
2016/6/12,13,0.69
2016/6/12,14,0.46
2016/6/12,15,0.37
2016/6/12,16,0.4
2016/6/12,17,0.64
2016/6/12,18,0.77
2016/6/12,19,0.62
2016/6/12,20,0.69
2016/6/12,21,0.58
2016/6/12,22,0.62
2016/6/12,23,0.99
2016/6/13,0,0.77
2016/6/13,1,0.27
2016/6/13,2,0.25
2016/6/13,3,0.26
2016/6/13,4,0.2
2016/6/13,5,0.23
2016/6/13,6,0.56
2016/6/13,7,0.7
2016/6/13,8,1.22
2016/6/13,9,1.14
2016/6/13,10,2.65
2016/6/13,11,0.49
2016/6/13,12,0.57
2016/6/13,13,0.57
2016/6/13,14,0.51
2016/6/13,15,2.84
2016/6/13,16,0.57
2016/6/13,17,3.47
2016/6/13,18,0.73
2016/6/13,19,0.39
2016/6/13,20,0.39
2016/6/13,21,0.7
2016/6/13,22,0.55
2016/6/13,23,0.29
2016/6/14,0,0.27
2016/6/14,1,0.62
2016/6/14,2,0.73
2016/6/14,3,0.27
2016/6/14,4,0.3
2016/6/14,5,0.33
2016/6/14,6,0.5
2016/6/14,7,0.52
2016/6/14,8,1.66
2016/6/14,9,3.4
2016/6/14,10,0.78
2016/6/14,11,0.75
2016/6/14,12,0.29
2016/6/14,13,0.37
2016/6/14,14,1.06
2016/6/14,15,1.44
2016/6/14,16,1.3
2016/6/14,17,3.41
2016/6/14,18,1.83
2016/6/14,19,0.97
2016/6/14,20,1.01
2016/6/14,21,0.86
2016/6/14,22,0.92
2016/6/14,23,0.81
2016/6/15,0,0.24
2016/6/15,1,0.18
2016/6/15,2,0.26
2016/6/15,3,0.26
2016/6/15,4,0.2
2016/6/15,5,0.22
2016/6/15,6,0.42
2016/6/15,7,0.9
2016/6/15,8,0.86
2016/6/15,9,0.52
2016/6/15,10,0.43
2016/6/15,11,0.45
2016/6/15,12,0.38
2016/6/15,13,0.37
2016/6/15,14,0.44
2016/6/15,15,0.51
2016/6/15,16,0.78
2016/6/15,17,0.95
2016/6/15,18,0.58
2016/6/15,19,0.39
2016/6/15,20,0.5
2016/6/15,21,0.66
2016/6/15,22,0.67
2016/6/15,23,0.96
2016/6/16,0,0.57
2016/6/16,1,0.18
2016/6/16,2,0.22
2016/6/16,3,0.27
2016/6/16,4,0.19
2016/6/16,5,0.2
2016/6/16,6,0.46
2016/6/16,7,0.46
2016/6/16,8,0.73
2016/6/16,9,0.47
2016/6/16,10,0.35
2016/6/16,11,0.38
2016/6/16,12,0.35
2016/6/16,13,0.41
2016/6/16,14,0.32
2016/6/16,15,0.39
2016/6/16,16,0.54
2016/6/16,17,0.78
2016/6/16,18,0.41
2016/6/16,19,0.53
2016/6/16,20,0.71
2016/6/16,21,0.6
2016/6/16,22,0.63
2016/6/16,23,1.11
2016/6/17,0,0.7
2016/6/17,1,0.27
2016/6/17,2,0.27
2016/6/17,3,0.26
2016/6/17,4,0.19
2016/6/17,5,0.25
2016/6/17,6,0.37
2016/6/17,7,0.75
2016/6/17,8,0.73
2016/6/17,9,0.39
2016/6/17,10,0.42
2016/6/17,11,0.32
2016/6/17,12,0.3
2016/6/17,13,0.27
2016/6/17,14,0.29
2016/6/17,15,0.3
2016/6/17,16,0.34
2016/6/17,17,0.42
2016/6/17,18,0.34
2016/6/17,19,0.53
2016/6/17,20,0.78
2016/6/17,21,0.93
2016/6/17,22,0.57
2016/6/17,23,0.35
2016/6/18,0,0.33
2016/6/18,1,0.22
2016/6/18,2,0.3
2016/6/18,3,0.9
2016/6/18,4,0.53
2016/6/18,5,0.18
2016/6/18,6,0.26
2016/6/18,7,0.34
2016/6/18,8,0.55
2016/6/18,9,0.29
2016/6/18,10,0.56
2016/6/18,11,0.9
2016/6/18,12,0.99
2016/6/18,13,1.1
2016/6/18,14,1.05
2016/6/18,15,1.18
2016/6/18,16,1.4
2016/6/18,17,1.26
2016/6/18,18,0.74
2016/6/18,19,0.71
2016/6/18,20,0.71
2016/6/18,21,0.67
2016/6/18,22,0.66
2016/6/18,23,0.74
2016/6/19,0,0.87
2016/6/19,1,1
2016/6/19,2,0.46
2016/6/19,3,0.22
2016/6/19,4,0.19
2016/6/19,5,0.25
2016/6/19,6,0.21
2016/6/19,7,0.2
2016/6/19,8,0.35
2016/6/19,9,0.48
2016/6/19,10,0.38
2016/6/19,11,0.59
2016/6/19,12,
2016/6/19,13,0.39
2016/6/19,14,0.4
2016/6/19,15,0.35
2016/6/19,16,0.31
2016/6/19,17,0.48
2016/6/19,18,0.51
2016/6/19,19,0.53
2016/6/19,20,0.53
2016/6/19,21,0.9
2016/6/19,22,0.71
2016/6/19,23,0.62
2016/6/20,0,0.96
2016/6/20,1,0.5
2016/6/20,2,0.2
2016/6/20,3,0.27
2016/6/20,4,0.22
2016/6/20,5,0.21
2016/6/20,6,0.57
2016/6/20,7,0.73
2016/6/20,8,0.81
2016/6/20,9,0.61
2016/6/20,10,0.48
2016/6/20,11,1.75
2016/6/20,12,0.8
2016/6/20,13,2.87
2016/6/20,14,1.19
2016/6/20,15,3.17
2016/6/20,16,0.9
2016/6/20,17,0.88
2016/6/20,18,0.6
2016/6/20,19,0.55
2016/6/20,20,0.76
2016/6/20,21,0.79
2016/6/20,22,0.62
2016/6/20,23,0.23
2016/6/21,0,0.21
2016/6/21,1,0.27
2016/6/21,2,0.46
2016/6/21,3,0.79
2016/6/21,4,0.29
2016/6/21,5,0.23
2016/6/21,6,0.3
2016/6/21,7,0.66
2016/6/21,8,0.87
2016/6/21,9,0.36
2016/6/21,10,0.38
2016/6/21,11,0.47
2016/6/21,12,0.37
2016/6/21,13,0.48
2016/6/21,14,0.62
2016/6/21,15,0.62
2016/6/21,16,0.66
2016/6/21,17,0.67
2016/6/21,18,0.59
2016/6/21,19,0.84
2016/6/21,20,0.8
2016/6/21,21,0.73
2016/6/21,22,0.76
2016/6/21,23,0.61
2016/6/22,0,0.63
2016/6/22,1,0.77
2016/6/22,2,0.3
2016/6/22,3,0.19
2016/6/22,4,0.25
2016/6/22,5,0.26
2016/6/22,6,0.19
2016/6/22,7,0.53
2016/6/22,8,0.85
2016/6/22,9,0.55
2016/6/22,10,0.49
2016/6/22,11,0.49
2016/6/22,12,0.31
2016/6/22,13,0.44
2016/6/22,14,0.42
2016/6/22,15,0.23
2016/6/22,16,0.43
2016/6/22,17,1.09
2016/6/22,18,0.57
2016/6/22,19,0.47
2016/6/22,20,0.76
2016/6/22,21,0.77
2016/6/22,22,0.95
2016/6/22,23,1.04
2016/6/23,0,0.59
2016/6/23,1,0.28
2016/6/23,2,0.33
2016/6/23,3,0.3
2016/6/23,4,0.27
2016/6/23,5,0.25
2016/6/23,6,0.38
